experiment_id,hypothesis,unique_change,expected,dev_result,val_result,cost_result,passed,failure_reason,code_version,created_at
EXP-0001,20日相对动量,基线,分组单调,年化 18%,年化 12%,年化 8%,True,,v0.1.0,2026-08-06T23:58:53
CFG-20260807000833,配置变更:backtest,无参数变化,配置保存,,,,True,,config-api,2026-08-07T00:08:33
EXP-20260808224211,??????,"source=synthetic,factor=momentum,window=20,top_n=10",按实验协议自动判定,年化 12.63% / 回撤 -2.52%,RankIC 0.0811,成本后年化 12.63%,True,,quant-api,2026-08-08T22:42:11
EXP-20260808224224,??????,"source=synthetic,factor=momentum,window=20,top_n=10",按实验协议自动判定,年化 12.63% / 回撤 -2.52%,RankIC 0.0811,成本后年化 12.63%,True,,quant-api,2026-08-08T22:42:24
EXP-20260808230028,???????,"source=synthetic,factor=momentum,rsi,window=14,top_n=10",按实验协议自动判定,年化 14.53% / 回撤 -2.13%,RankIC 0.084,成本后年化 14.53%,True,,quant-api,2026-08-08T23:00:28
EXP-20260808230030,未命名实验,"source=real,factor=momentum,volume_price,window=20,top_n=2",按实验协议自动判定,年化 -18.56% / 回撤 -18.69%,RankIC 0.0555,成本后年化 -18.56%,False,成本后年化收益非正；年度正收益占比 0.00 < 0.6,quant-api,2026-08-08T23:00:30
EXP-ATR-FILTER-20260809,ATR???????/????????>=1?ATR??????????????,"confirm_amp_mult=1.0, min_same_kind_gap=5, max_confirm_bars=3, warn_min_gap=10",600487?????6????1????,600487 6-03~6-26 ?6?1???57?9,??????/??,???,False,??????????????????????,b53b87b,2026-08-09T23:30:00
EXP-SELL3WARN-20260809,???????????????ZG????,"warn_gap=30, ????????????",???S3????,600487 2026-07-08 ??????3??,15??T?? -4337?600487?,-4337,False,15?????????????????????,b53b87b,2026-08-09T23:35:00
EXP-SIGNAL-FREQ-20260810,???????????/??/????????,"warn_min_gap=10, sweep_min_gap=15, warn_gap=30",K??????????,600487 ??57?9??10?3?000063 warn8?6,??????,???,False,????????????????/?????,70e5e9d,2026-08-10T00:10:00
EXP-MINUTE-VOL-20260810,??????????????????,minute_line volume/amount ? delta,??????????,600487 sum(vol)=1939865=?K???????,????,?,True,,adab8be,2026-08-10T13:10:00
EXP-NEW-STRATEGY-20260810,????vs B/S?T???????/??8%/ATR??/????,extra_points/include_warns/skip_native_kinds ??,???????,30? 600487 +3138 vs ??+2616?000636 +1291 vs -530,?????,+3138/+1291,False,??3??20????????????????,a5a0539,2026-08-10T00:30:00
EXP-MINUTE-EVAL-20260810,??????????????5??K?,????????15/30????,??????????,SMC??? 30min ???67%?ATR?100%(n=2),?????,???,False,??5???7??n=2?100%?????????bar?????,0e96961,2026-08-10T12:40:00
EXP-AUDIT-20260810,????+???????16????????,???????+????+????,??????,???????????=?????/????/?????????T??T+1,???,???,False,?????????/????/T+1????????????,f5d49a5,2026-08-10T13:30:00
